Year,County,County ANSI,Yield,CV (%),Growing_Season_Precip_mm,Growing_Season_Temp_C,NAME,mean,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,soil_quality_score,slope_avg,temp_precip_interaction,lag_yield
2012,ALLEN,1,,11.2,309.74,23.4795182795699,Allen,0.5367034254702389,316.0,0.0763,0.6948,0.2274,0.0015,0.0,0.0,0.0,0.0,0.0531,0.0531,0.037,0.0857,0.7711,0.0,0.0,0.0442999973893166,10.2170333862305,7.57265138626099,82.0194244384766,0.146594405174255,82.166015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,7272.54599191398,
2012,ALLEN,1,,12.9,309.74,23.4795182795699,Allen,0.5367034254702389,316.0,0.0763,0.6948,0.2274,0.0015,0.0,0.0,0.0,0.0,0.0531,0.0531,0.037,0.0857,0.7711,0.0,0.0,0.0442999973893166,10.2170333862305,7.57265138626099,82.0194244384766,0.146594405174255,82.166015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,7272.54599191398,
2017,ALLEN,1,,29.8,738.9200000000001,21.172936559139778,Allen,0.6472536281452496,316.0,0.0763,0.6948,0.2274,0.0015,0.0,0.0,0.0,0.0,0.0531,0.0531,0.037,0.0857,0.7711,0.0,0.0,0.0442999973893166,10.2170333862305,7.57265138626099,82.0194244384766,0.146594405174255,82.166015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,15645.106282279567,
2017,ALLEN,1,,20.2,738.9200000000001,21.172936559139778,Allen,0.6472536281452496,316.0,0.0763,0.6948,0.2274,0.0015,0.0,0.0,0.0,0.0,0.0531,0.0531,0.037,0.0857,0.7711,0.0,0.0,0.0442999973893166,10.2170333862305,7.57265138626099,82.0194244384766,0.146594405174255,82.166015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,15645.106282279567,
2017,ALLEN,1,,20.1,738.9200000000001,21.172936559139778,Allen,0.6472536281452496,316.0,0.0763,0.6948,0.2274,0.0015,0.0,0.0,0.0,0.0,0.0531,0.0531,0.037,0.0857,0.7711,0.0,0.0,0.0442999973893166,10.2170333862305,7.57265138626099,82.0194244384766,0.146594405174255,82.166015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,15645.106282279567,
2012,ANDERSON,3,,11.2,281.41,23.34347311827958,Anderson,0.53329411257232,329.0,0.0265,0.3592,0.534,0.0761,0.0039,0.0003,0.0,0.0,0.1445,0.1696,0.1063,0.1939,0.3857,0.0,0.0,0.227399989962578,15.3482551574707,9.29582786560059,74.5320205688477,0.596496284008026,75.1285171508789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,6569.086770215057,
2012,ANDERSON,3,,12.9,281.41,23.34347311827958,Anderson,0.53329411257232,329.0,0.0265,0.3592,0.534,0.0761,0.0039,0.0003,0.0,0.0,0.1445,0.1696,0.1063,0.1939,0.3857,0.0,0.0,0.227399989962578,15.3482551574707,9.29582786560059,74.5320205688477,0.596496284008026,75.1285171508789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,6569.086770215057,
2012,ANDERSON,3,,,281.41,23.34347311827958,Anderson,0.53329411257232,329.0,0.0265,0.3592,0.534,0.0761,0.0039,0.0003,0.0,0.0,0.1445,0.1696,0.1063,0.1939,0.3857,0.0,0.0,0.227399989962578,15.3482551574707,9.29582786560059,74.5320205688477,0.596496284008026,75.1285171508789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,6569.086770215057,
2017,ANDERSON,3,,29.8,635.8,20.9190129032258,Anderson,0.6488798978025467,329.0,0.0265,0.3592,0.534,0.0761,0.0039,0.0003,0.0,0.0,0.1445,0.1696,0.1063,0.1939,0.3857,0.0,0.0,0.227399989962578,15.3482551574707,9.29582786560059,74.5320205688477,0.596496284008026,75.1285171508789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,13300.308403870962,
2017,ANDERSON,3,,20.2,635.8,20.9190129032258,Anderson,0.6488798978025467,329.0,0.0265,0.3592,0.534,0.0761,0.0039,0.0003,0.0,0.0,0.1445,0.1696,0.1063,0.1939,0.3857,0.0,0.0,0.227399989962578,15.3482551574707,9.29582786560059,74.5320205688477,0.596496284008026,75.1285171508789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,13300.308403870962,
2017,ANDERSON,3,,20.1,635.8,20.9190129032258,Anderson,0.6488798978025467,329.0,0.0265,0.3592,0.534,0.0761,0.0039,0.0003,0.0,0.0,0.1445,0.1696,0.1063,0.1939,0.3857,0.0,0.0,0.227399989962578,15.3482551574707,9.29582786560059,74.5320205688477,0.596496284008026,75.1285171508789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,13300.308403870962,
2012,ATCHISON,5,,11.2,302.81,22.61456774193548,Atchison,0.5823748759648999,333.0,0.0125,0.2204,0.6901,0.0768,0.0002,0.0,0.0,0.0,0.2029,0.2463,0.1638,0.1541,0.2329,0.0,0.0,0.555000007152557,1.36563611030579,3.59200572967529,92.9160690307617,1.57128798961639,94.4873580932617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,6847.917257935483,
2012,ATCHISON,5,,12.9,302.81,22.61456774193548,Atchison,0.5823748759648999,333.0,0.0125,0.2204,0.6901,0.0768,0.0002,0.0,0.0,0.0,0.2029,0.2463,0.1638,0.1541,0.2329,0.0,0.0,0.555000007152557,1.36563611030579,3.59200572967529,92.9160690307617,1.57128798961639,94.4873580932617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,6847.917257935483,
2017,ATCHISON,5,,,599.36,20.32060860215052,Atchison,0.6474561749325027,333.0,0.0125,0.2204,0.6901,0.0768,0.0002,0.0,0.0,0.0,0.2029,0.2463,0.1638,0.1541,0.2329,0.0,0.0,0.555000007152557,1.36563611030579,3.59200572967529,92.9160690307617,1.57128798961639,94.4873580932617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,12179.359971784937,
2017,ATCHISON,5,,20.2,599.36,20.32060860215052,Atchison,0.6474561749325027,333.0,0.0125,0.2204,0.6901,0.0768,0.0002,0.0,0.0,0.0,0.2029,0.2463,0.1638,0.1541,0.2329,0.0,0.0,0.555000007152557,1.36563611030579,3.59200572967529,92.9160690307617,1.57128798961639,94.4873580932617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,12179.359971784937,
2017,ATCHISON,5,,20.1,599.36,20.32060860215052,Atchison,0.6474561749325027,333.0,0.0125,0.2204,0.6901,0.0768,0.0002,0.0,0.0,0.0,0.2029,0.2463,0.1638,0.1541,0.2329,0.0,0.0,0.555000007152557,1.36563611030579,3.59200572967529,92.9160690307617,1.57128798961639,94.4873580932617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,12179.359971784937,
